"BehaviorSpace results (NetLogo 6.2.2)"
"PD N-Person Iterated.nlogo"
"tournament-mean-payoff"
"12/23/2022 10:18:37:104 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","num-strategy-agents","[step]","random-score / num-random-games","cooperate-score / num-cooperate-games","defect-score / num-defect-games","tit-for-tat-score / num-tit-for-tat-games","joss-score / num-joss-games","anonymous-score / num-anonymous-games"
"4","10","10000","1.9995287217887627","1.9352831362787803","2.400502197112367","2.179132522574247","2.2134837274279504","1.9969082429387413"
"2","10","10000","2.0001057026584217","1.9337444655281468","2.397900015671525","2.136396601740572","2.1850420431399176","1.9878835562549173"
"3","10","10000","2.008103557145864","1.928650355169692","2.3911330049261084","2.153164886689242","2.213474955742997","1.988945975400903"
"1","10","10000","1.9888119893843992","1.9280856223967944","2.4074462506554797","2.1632028695010024","2.221914746421159","1.998790174109726"
"5","10","10000","1.9998446803002847","1.9190346844964479","2.391358344113842","2.154204881081921","2.209194805194805","1.9854710201531012"
"6","10","10000","1.9942250663336976","1.9226035256075935","2.411084843708957","2.1534067085953876","2.215697613289875","2.0077935755660876"
"7","10","10000","2.0003141690229342","1.930819259414665","2.4117770326906958","2.1501625930976607","2.2008082716632553","1.9835237142706743"
"8","10","10000","2.007834943849569","1.9305929919137466","2.3971160930428375","2.131383812010444","2.1625404784289146","1.9924812030075187"
"9","10","10000","1.9961863964058093","1.943528313627878","2.401391629452695","2.153701380175659","2.2412091949197017","1.9817015459038805"
"10","10","10000","2.0004214741056847","1.9186320138053652","2.4108093857105195","2.175736842105263","2.238880956158443","1.9882836908977297"
"11","20","10000","1.993909499676677","1.9423867069486405","2.3939101306696444","2.168705564903664","2.187789042375307","2.011288291432126"
"12","20","10000","2.023160496059551","1.9370050395968323","2.3932888735002336","2.172205210203189","2.2015376249886716","1.9943895231094644"
"14","20","10000","2.0009481811477507","1.935280320798971","2.378117202268431","2.1677156719893045","2.2102320548274617","2.009928096513132"
"13","20","10000","2.000899725583697","1.945317778478447","2.395121951219512","2.164556771710368","2.1899780563321007","2.017236711488133"
"15","20","10000","2.019775833870992","1.9476151834821025","2.3900841908325536","2.181470826215949","2.2081658557224455","1.9908427399247473"
"16","20","10000","1.988052228401817","1.9423108919577088","2.383569285509672","2.174843889384478","2.220238006137265","2.0123342956905543"
"17","20","10000","1.9990215853328115","1.9368263023570034","2.395453454894434","2.1576922494357857","2.199076372279134","2.0130179297875546"
"18","20","10000","2.0171414811804897","1.9363898223715794","2.4017567913697246","2.1730491546838335","2.2145272310107473","1.9881748614123884"
