"BehaviorSpace results (NetLogo 6.2.2)"
"visek_obstacles.nlogo"
"obst"
"11/04/2022 09:03:37:978 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","v","eta","[step]","get-global-alignment","get-global-cc"
"5","1","30","22","0.5389741701696997","0.33"
"2","1","0","23","0.5785074286135121","0.2966666666666667"
"3","1","0","23","0.5635986687844424","0.26"
"4","1","30","23","0.5871324979503872","0.35"
"1","1","0","23","0.6706538115540759","0.24"
"6","1","30","23","0.5615755672488929","0.27666666666666667"
"5","1","30","23","0.5782320174045049","0.32"
"2","1","0","24","0.6098929426421177","0.25333333333333335"
"3","1","0","24","0.5689674952624809","0.2733333333333333"
"4","1","30","24","0.6020868903360944","0.35"
"1","1","0","24","0.6592988193027395","0.3"
"6","1","30","24","0.5730517215997034","0.25333333333333335"
"5","1","30","24","0.5692874309937316","0.35333333333333333"
"2","1","0","25","0.6255891792879438","0.2833333333333333"
"3","1","0","25","0.5589848281390537","0.2733333333333333"
"4","1","30","25","0.6148693775569586","0.3233333333333333"
"1","1","0","25","0.6724343917849734","0.27666666666666667"
"6","1","30","25","0.558345699756161","0.2733333333333333"
"5","1","30","25","0.5797518007123919","0.3566666666666667"
"2","1","0","26","0.6435568448417807","0.2833333333333333"
"3","1","0","26","0.572311042236373","0.2866666666666667"
"4","1","30","26","0.5919004915638362","0.31333333333333335"
"6","1","30","26","0.5356951078238826","0.2733333333333333"
"1","1","0","26","0.6914773455911507","0.2733333333333333"
"5","1","30","26","0.5534117544624098","0.3333333333333333"
"2","1","0","27","0.6513025823166108","0.2966666666666667"
"3","1","0","27","0.577683730390169","0.27"
"4","1","30","27","0.6017546681961823","0.34"
"6","1","30","27","0.5330253186430093","0.29"
"2","1","0","28","0.6542673642170075","0.27666666666666667"
"1","1","0","27","0.7069588286358534","0.30333333333333334"
"5","1","30","27","0.5792795700853975","0.2966666666666667"
"3","1","0","28","0.5877281986300584","0.27666666666666667"
"4","1","30","28","0.5960154229414502","0.33"
"6","1","30","28","0.5288467552496645","0.3"
"2","1","0","29","0.6705645153599146","0.22666666666666666"
"1","1","0","28","0.7083349665080451","0.2833333333333333"
"5","1","30","28","0.5722751701693991","0.32"
"3","1","0","29","0.6007006183641874","0.27666666666666667"
"2","1","0","30","0.686505877940846","0.2633333333333333"
"4","1","30","29","0.6322093007459034","0.31666666666666665"
"6","1","30","29","0.5549389651690365","0.30333333333333334"
"1","1","0","29","0.7139118269078814","0.30666666666666664"
"5","1","30","29","0.6101820541401741","0.32"
"3","1","0","30","0.6337469322402538","0.31"
"2","1","0","31","0.7069306489378513","0.26666666666666666"
"4","1","30","30","0.6118125574909338","0.2833333333333333"
"6","1","30","30","0.5697040349816195","0.32"
"1","1","0","30","0.7139657171837016","0.31333333333333335"
