"BehaviorSpace results (NetLogo 6.2.2)"
"visek_original.nlogo"
"orig"
"11/03/2022 12:38:52:421 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","v","eta","[step]","get-global-alignment","get-global-cc"
"6","1","30","7","0.452954917401115","0.20666666666666667"
"5","1","30","7","0.4324629172985231","0.16"
"1","1","0","7","0.5435425837093025","0.2633333333333333"
"3","1","0","7","0.4663985606581801","0.24333333333333335"
"4","1","30","8","0.5144139460906312","0.17666666666666667"
"2","1","0","7","0.5125592923783638","0.24333333333333335"
"6","1","30","8","0.5176620784266549","0.19"
"5","1","30","8","0.43846370403776563","0.17666666666666667"
"1","1","0","8","0.5824174369085756","0.25666666666666665"
"3","1","0","8","0.5037029568671726","0.22333333333333333"
"4","1","30","9","0.583074330855615","0.19333333333333333"
"2","1","0","8","0.570062502818571","0.24666666666666667"
"6","1","30","9","0.5419400200184709","0.18"
"1","1","0","9","0.6391130811331017","0.24"
"5","1","30","9","0.4906539062972191","0.21333333333333335"
"3","1","0","9","0.5255934638174558","0.24"
"4","1","30","10","0.5987381358974107","0.21666666666666667"
"2","1","0","9","0.6060960401094624","0.25666666666666665"
"6","1","30","10","0.558230814193631","0.22333333333333333"
"5","1","30","10","0.5352497776884473","0.20333333333333334"
"1","1","0","10","0.6984888123691694","0.23666666666666666"
"3","1","0","10","0.5506805909273162","0.27666666666666667"
"4","1","30","11","0.621269841196751","0.18"
"2","1","0","10","0.6342667539816822","0.20666666666666667"
"6","1","30","11","0.5607985728454296","0.22333333333333333"
"5","1","30","11","0.5519305862605907","0.21666666666666667"
"1","1","0","11","0.7288360453834221","0.2"
"3","1","0","11","0.5788654619346415","0.29333333333333333"
"2","1","0","11","0.6568750015307447","0.22"
"4","1","30","12","0.6474083196085552","0.18666666666666668"
"5","1","30","12","0.5741382003311033","0.25333333333333335"
"1","1","0","12","0.7537585988213465","0.19666666666666666"
"6","1","30","12","0.5815926321455739","0.23333333333333334"
"3","1","0","12","0.6162470006456175","0.2833333333333333"
"4","1","30","13","0.666953723135372","0.19333333333333333"
"2","1","0","12","0.6995510818801776","0.23333333333333334"
"1","1","0","13","0.7693653148514233","0.23"
"5","1","30","13","0.5898636857398799","0.24"
"6","1","30","13","0.5894995329410703","0.26"
"3","1","0","13","0.6612749634233187","0.2733333333333333"
"4","1","30","14","0.6683637973677922","0.22"
"2","1","0","13","0.7081544550812392","0.24666666666666667"
"1","1","0","14","0.783103138322547","0.20333333333333334"
"5","1","30","14","0.5911409850468125","0.23333333333333334"
"6","1","30","14","0.6409059970431189","0.27666666666666667"
"3","1","0","14","0.696844480569806","0.25666666666666665"
"4","1","30","15","0.6896176501151762","0.21"
"2","1","0","14","0.7273802045062876","0.23666666666666666"
"1","1","0","15","0.7918134787269299","0.20666666666666667"
"5","1","30","15","0.5816381511336068","0.22666666666666666"
"6","1","30","15","0.6444019139344291","0.23"
"3","1","0","15","0.734310877928663","0.2633333333333333"
"2","1","0","15","0.7573983622481025","0.23333333333333334"
"4","1","30","16","0.7043553629559939","0.19666666666666666"
"1","1","0","16","0.8020094025725167","0.24666666666666667"
"5","1","30","16","0.5695354804962381","0.22666666666666666"
"6","1","30","16","0.6476863692602534","0.25333333333333335"
"3","1","0","16","0.7423911864062641","0.25333333333333335"
"2","1","0","16","0.7750975510138157","0.23333333333333334"
"4","1","30","17","0.67614556006488","0.27"
"1","1","0","17","0.820850827319344","0.22"
"6","1","30","17","0.6641728679381838","0.25"
"5","1","30","17","0.5932218015290127","0.25333333333333335"
"3","1","0","17","0.7608147630341109","0.23"
"2","1","0","17","0.7840038723031312","0.24333333333333335"
"4","1","30","18","0.6631031382088244","0.24"
"1","1","0","18","0.8322899633929629","0.23666666666666666"
"6","1","30","18","0.6785474394220473","0.2833333333333333"
"5","1","30","18","0.6000683476160938","0.24666666666666667"
"3","1","0","18","0.7780270818971053","0.25"
"2","1","0","18","0.7999043823704358","0.24"
"4","1","30","19","0.6580764052476987","0.25666666666666665"
"1","1","0","19","0.8368863565447436","0.24333333333333335"
"6","1","30","19","0.6783791309499547","0.26666666666666666"
