"BehaviorSpace results (NetLogo 6.2.2)"
"creative_quick.nlogo"
"levy-end"
"10/03/2022 16:32:42:617 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","step-size","num","rw-type","dist-type","[step]","get-cover-time","get-reach-border-time"
"127","1.5","150","levy","weibull","738","738","57"
"124","1.5","150","levy","log-normal","1762","1762","25"
"129","1.5","150","levy","weibull","794","794","55"
"125","1.5","150","levy","log-normal","1573","1573","57"
"130","1.5","150","levy","weibull","638","638","66"
"132","1.5","150","levy","cauchy","272","272","0"
"134","1.5","150","levy","cauchy","244","244","0"
"133","1.5","150","levy","cauchy","336","336","1"
"131","1.5","150","levy","cauchy","258","258","0"
"135","1.5","150","levy","cauchy","386","386","0"
