"BehaviorSpace results (NetLogo 6.2.2)"
"creative_quick.nlogo"
"cd-run-step-2"
"09/28/2022 13:48:47:329 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","num","step-size","num-directions","[step]","get-msd","step-size * sqrt ticks"
"2","100","1","4","0","0","0"
"2","100","1","4","1","0.548221459038667","1"
"2","100","1","4","2","0.7156823397899802","1.4142135623730951"
"2","100","1","4","3","0.9375088394603318","1.7320508075688772"
"2","100","1","4","4","1.0835744674834478","2"
"4","100","1","6","0","0","0"
"2","100","1","4","5","1.1839452133101351","2.23606797749979"
"4","100","1","6","1","0.6161299498694888","1"
"1","100","1","3","0","0","0"
"4","100","1","6","2","0.8340500846511704","1.4142135623730951"
"4","100","1","6","3","1.011287355206294","1.7320508075688772"
"2","100","1","4","6","1.3081795663096951","2.449489742783178"
"4","100","1","6","4","1.176858816090118","2"
"6","100","1.5","4","0","0","0"
"3","100","1","5","0","0","0"
"5","100","1.5","3","0","0","0"
"2","100","1","4","7","1.3913965454506119","2.6457513110645907"
"4","100","1","6","5","1.3897097144992123","2.23606797749979"
"2","100","1","4","8","1.5288904227703117","2.8284271247461903"
"4","100","1","6","6","1.566031226279203","2.449489742783178"
"2","100","1","4","9","1.5955583431840963","3"
"4","100","1","6","7","1.6580627468944813","2.6457513110645907"
"2","100","1","4","10","1.6417209833858717","3.1622776601683795"
"4","100","1","6","8","1.76343091540117","2.8284271247461903"
"2","100","1","4","11","1.788410862562775","3.3166247903554"
"5","100","1.5","3","1","0.8038362499619535","1.5"
"6","100","1.5","4","1","0.8665676541358073","1.5"
"2","100","1","4","12","1.8499307155980058","3.4641016151377544"
"4","100","1","6","9","1.8709923058430955","3"
"4","100","1","6","10","1.9203166951925288","3.1622776601683795"
"3","100","1","5","1","0.6081561972750342","1"
"5","100","1.5","3","2","1.2248782461477234","2.121320343559643"
"1","100","1","3","1","0.5861848251877992","1"
"2","100","1","4","13","1.9247809216863478","3.605551275463989"
"2","100","1","4","14","1.9915779038350763","3.7416573867739413"
"5","100","1.5","3","3","1.4344694320481592","2.598076211353316"
"4","100","1","6","11","2.057879437674114","3.3166247903554"
"6","100","1.5","4","2","1.1982623713377836","2.121320343559643"
"2","100","1","4","15","2.0223453454837514","3.872983346207417"
"2","100","1","4","16","2.0932261089611726","4"
"4","100","1","6","12","2.1569387452837896","3.4641016151377544"
"5","100","1.5","3","4","1.7822154783018243","3"
"5","100","1.5","3","5","1.9772985127221006","3.3541019662496847"
"5","100","1.5","3","6","2.1971695097344863","3.674234614174767"
"4","100","1","6","13","2.1361703876439253","3.605551275463989"
"1","100","1","3","2","0.8401653489393235","1.4142135623730951"
"4","100","1","6","14","2.2489276503532456","3.7416573867739413"
"5","100","1.5","3","7","2.421693258358977","3.968626966596886"
"3","100","1","5","2","0.827657071860136","1.4142135623730951"
"2","100","1","4","17","2.1969847007417798","4.123105625617661"
"5","100","1.5","3","8","2.52150196875677","4.242640687119286"
"2","100","1","4","18","2.2521307542487357","4.242640687119285"
"4","100","1","6","15","2.3311723144016683","3.872983346207417"
"6","100","1.5","4","3","1.4863040502303224","2.598076211353316"
"3","100","1","5","3","0.9756571031004909","1.7320508075688772"
"4","100","1","6","16","2.3982634444120605","4"
"2","100","1","4","19","2.306330741122309","4.358898943540674"
"5","100","1.5","3","9","2.7782947387905903","4.5"
"4","100","1","6","17","2.484047451174031","4.123105625617661"
"1","100","1","3","3","1.0249662693113315","1.7320508075688772"
"6","100","1.5","4","4","1.8006629692793104","3"
"3","100","1","5","4","1.0782406089338337","2"
"4","100","1","6","18","2.547481841738986","4.242640687119285"
"2","100","1","4","20","2.365448117174339","4.47213595499958"
"4","100","1","6","19","2.610404216693871","4.358898943540674"
"5","100","1.5","3","10","2.89718102862222","4.743416490252569"
"1","100","1","3","4","1.190741354587295","2"
"6","100","1.5","4","5","2.080022365563474","3.3541019662496847"
"4","100","1","6","20","2.662959169810578","4.47213595499958"
"3","100","1","5","5","1.2558821210690498","2.23606797749979"
"2","100","1","4","21","2.442635011924944","4.58257569495584"
"4","100","1","6","21","2.728712972852657","4.58257569495584"
"5","100","1.5","3","11","2.972467377746941","4.9749371855331"
"4","100","1","6","22","2.8457478259756597","4.69041575982343"
"3","100","1","5","6","1.3815333554476839","2.449489742783178"
"1","100","1","3","5","1.3442863781874301","2.23606797749979"
"6","100","1.5","4","6","2.18037715591472","3.674234614174767"
"2","100","1","4","22","2.484684184353938","4.69041575982343"
"4","100","1","6","23","2.8958466425328746","4.795831523312719"
"3","100","1","5","7","1.4786555424828283","2.6457513110645907"
"5","100","1.5","3","12","3.1253363325911216","5.196152422706632"
"4","100","1","6","24","2.935530089630748","4.898979485566356"
"3","100","1","5","8","1.5848969654226805","2.8284271247461903"
"4","100","1","6","25","2.927523514210099","5"
"2","100","1","4","23","2.6216835210621654","4.795831523312719"
"3","100","1","5","9","1.6624454719204889","3"
"6","100","1.5","4","7","2.4348006082271114","3.968626966596886"
"4","100","1","6","26","2.979174068436606","5.0990195135927845"
"1","100","1","3","6","1.4574208692602288","2.449489742783178"
"2","100","1","4","24","2.671128499629507","4.898979485566356"
"5","100","1.5","3","13","3.2620295164126154","5.4083269131959835"
"3","100","1","5","10","1.7087807924444822","3.1622776601683795"
"4","100","1","6","27","3.0704459601006513","5.196152422706632"
"4","100","1","6","28","3.156898732512494","5.291502622129181"
